Source.Name,Parcel ID,Address,Sale Date,Sale Price,Qualified Sales,Book,Page,Acres,Tax District,yearbuilt,square_ft ,Sec/Twp/Rng,Sale  Type Alternate
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,06-3N-23-0000-0008-0010,5745 MANSFIELD DR,1/18/2022,100,Unqualified,3602,2569,1,1,1985,1692,6-3N-23,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,05-2N-23-2323-000E-0040,508 HILLVIEW CIR,1/14/2022,315000,Qualified,3599,1073,0,3,1992,2280,5-2N-23,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,32-3N-23-0000-0043-003B,KIPLING DR,1/13/2022,2500,Qualified,3599,2865,0.1,1,,,32-3N-23,Land Only
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,17-4N-25-0000-0002-003A,BEAVER CREEK TOWER RD,1/21/2022,92100,Qualified,3601,1743,2.08,1,,,17-4N-25,Land Only
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,15-2S-25-0000-0095-0000,514 FRIENDSHIP RD,1/13/2022,75000,Qualified,3599,1665,0,21,2022,1894,15-2S-25,Land Only
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,17-4N-25-0000-0002-0030,6427 BEAVER CREEK TOWER RD,1/21/2022,92100,Qualified,3601,1743,10,1,2022,1166,17-4N-25,Land Only
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,33-3N-23-2555-000C-0030,4744 CONNOR DR,1/18/2022,315000,Qualified,3601,4145,0,1,2002,2009,33-3N-23,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,00-2S-22-1705-0000-0047,10 HARBOR BLVD 47,1/10/2022,100,Unqualified,3601,145,0,10,,,00-2S-22,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,00-2S-22-1705-0000-0047,10 HARBOR BLVD 47,1/25/2022,84500,Unqualified,3618,3078,0,10,,,00-2S-22,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,00-2S-22-2311-0000-1510,4203 INDIAN BAYOU TRL 1510,1/24/2022,350000,Qualified,3600,2111,0,10,,,00-2S-22,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,13-3N-23-0000-0001-002W,3554 HWY 90 E,1/24/2022,100,Unqualified,3600,2116,1.19,1,,,13-3N-23,Land Only
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,00-2S-22-1705-0000-0056,10 HARBOR BLVD 56,1/24/2022,159400,Unqualified,3600,2759,0,10,,,00-2S-22,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,14-2S-24-221F-000A-0150,230 CORAL DR,1/18/2022,0,Unqualified,3599,3870,0,4,1960,1380,14-2S-24,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,00-2S-24-1030-0000-0612,211 DURANGO RD 612,1/31/2022,600000,Qualified,3802,408,0,10,,,00-2S-24,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,07-3N-23-1180-0002-017A,260 BRACEWELL ST,1/25/2022,100,Unqualified,3602,3717,0,3,1999,1122,7-3N-23,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,33-3N-23-2770-0000-0290,4630 HONOR GUARD WAY,1/7/2022,323900,Qualified,3597,4280,0,1,2021,1851,33-3N-23,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,20-4N-23-1000-000B-0440,2639 CORNER CREEK RD,1/19/2022,280000,Qualified,3600,4282,0,1,2009,2447,20-4N-23,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,25-1S-24-1570-000G-0060,2037 LEWIS TURNER BLVD B,1/7/2022,154000,Unqualified,3599,2085,0,12,1975,1831,25-1S-24,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,06-2S-23-5070-0000-014B,101 OLD FERRY RD 14B,1/10/2022,192500,Qualified,3598,1456,0,12,,,6-2S-23,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,02-2S-24-1005-0003-0130,410 WESTMINSTER RD,1/21/2022,0,Unqualified,3600,2145,0,12,1960,1116,2-2S-24,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,00-2S-22-0718-0000-0200,505 DRIFTWOOD LN,1/5/2022,100,Unqualified,3606,1623,0,10,1975,2812,00-2S-22,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,00-2S-22-0400-0000-0020,4662 DESTINY WAY,1/14/2022,4300000,Qualified,3599,2011,0,10,2013,5560,00-2S-22,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,00-2S-22-2310-0000-2803,4207 INDIAN BAYOU TRL 2803,1/5/2022,385000,Qualified,3597,4782,0,10,,,00-2S-22,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,14-2S-24-2211-0000-00B7,236 MIRACLE STRIP PKWY B7,1/5/2022,205800,Qualified,359755,3835,0,4,,,14-2S-24,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,22-2S-25-1110-000B-0050,291 TECUMSEH LN,1/13/2022,286900,Qualified,3601,2524,0,21,2002,1750,22-2S-25,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,07-1S-22-1130-0011-001B,617 31ST ST,1/11/2022,100,Unqualified,3603,3604,0,6,2022,1664,7-1S-22,Land Only
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,03-2S-24-0000-0027-0000,405 YANCEY ST,1/10/2022,100,Unqualified,3599,3493,0,12,1967,684,3-2S-24,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,20-3N-23-0830-0004-0110,995 KELVIN CT,1/31/2022,100,Unqualified,3601,3586,0,3,1960,1293,20-3N-23,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,07-1S-22-1130-0011-001A,615 31ST ST,1/11/2022,100,Unqualified,3612,1953,0,6,2022,1664,7-1S-22,Land Only
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,00-2S-22-2310-0002-1102,4207 INDIAN BAYOU TRL 21102,1/11/2022,100,Unqualified,3598,1335,0,10,,,00-2S-22,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,07-3N-23-1310-000D-0150,256 PANAMA DR,1/10/2022,100,Unqualified,3598,128,0,3,2005,1182,7-3N-23,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,16-4N-25-0000-0004-003A,HWY 4 W,1/28/2022,100,Unqualified,3601,2358,3.33,1,,,16-4N-25,Land Only
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,26-1S-22-461E-0000-0100,4400 WINDRUSH DR,1/11/2022,100,Unqualified,3599,2132,0,14,1992,3450,26-1S-22,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,26-1S-22-461E-0000-0100,4400 WINDRUSH DR,1/31/2022,402800,Unqualified,3612,5009,0,14,1992,3450,26-1S-22,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,33-4N-23-0000-0038-0010,2909 AIRPORT RD,1/6/2022,348000,Qualified,3598,1364,2.575,1,1960,2483,33-4N-23,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,12-2N-25-0000-0005-0060,1057 LONESOME PINE ST,1/11/2022,100,Unqualified,3598,3842,4.78,1,2013,1891,12-2N-25,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,19-2N-25-0000-0002-0000,7000 GARDNER LANDING RD,1/21/2022,5000,Unqualified,3600,364,29,1,,,19-2N-25,Land Only
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,10-2S-24-3030-000B-0030,635 OVERBROOK DR,1/12/2022,280000,Qualified,3599,130,0,12,1975,1856,10-2S-24,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,06-3N-23-4398-000A-0230,2511 SUNSET DR,1/4/2022,100,Unqualified,3597,2649,0,1,1995,998,6-3N-23,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,11-2S-24-258C-000A-0040,234 WATSON DR,1/4/2022,125000,Unqualified,3597,3262,0,4,1961,1000,11-2S-24,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,00-2S-22-1705-0000-0046,10 HARBOR BLVD 46,1/24/2022,114200,Unqualified,3600,2729,0,10,,,00-2S-22,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,02-2S-24-1003-0003-0030,305 NEWCASTLE DR,1/24/2022,135500,Unqualified,3602,3916,0,12,1960,1266,2-2S-24,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,08-3N-23-1700-0001-004A,1324 PEARL ST,1/21/2022,55000,Qualified,3600,4935,0,3,2022,1249,8-3N-23,Land Only
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,31-1S-23-0120-0005-0070,38 POPLAR AVE,1/18/2022,0,Unqualified,3599,3423,0,12,1968,1596,31-1S-23,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,08-3N-24-1000-000A-0040,1457 MILL CREEK DR,1/24/2022,386700,Unqualified,3602,3961,0,1,2011,2577,8-3N-24,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,08-3N-23-1700-0001-004K,1322 PEARL ST N,1/21/2022,55000,Unqualified,3600,4935,0,3,2022,1249,8-3N-23,Land Only
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,00-2S-24-3089-111B-0000,1530 MIRACLE STRIP PKWY SE 111B,1/26/2022,100,Unqualified,3602,1897,0,13,,,00-2S-24,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,00-2S-22-2170-0000-3240,HWY 98 E,1/17/2022,2000,Unqualified,3606,3071,0,10,,,00-2S-22,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,00-2S-22-0400-0000-0560,86 VISTA BLUFFS,1/24/2022,100,Unqualified,3601,896,0,10,2001,2968,00-2S-22,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,18-3N-23-1260-000A-0080,116 CABANA WAY,1/12/2022,141200,Unqualified,3600,2798,0,3,2004,1224,18-3N-23,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,00-2S-22-1320-0042-000A,523 BAYVIEW ST,1/21/2022,0,Unqualified,3600,2188,0,10,1985,2838,00-2S-22,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,02-2S-24-1290-000B-0060,124 AIR FORCE ST,1/13/2022,60000,Unqualified,3599,4391,0,12,1955,950,2-2S-24,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,15-2S-25-1000-000J-0100,719 MARSH HARBOR DR,1/27/2022,100,Unqualified,3603,682,0,21,2004,2135,15-2S-25,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,00-2S-22-1313-0000-1720,1018 HWY 98 E 1720,1/3/2022,1200000,Qualified,3596,4702,0,10,,,00-2S-22,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,24-1S-22-223A-000D-0260,1516 PINE ST,1/6/2022,185000,Qualified,3599,2983,0,14,1987,1568,24-1S-22,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,18-3N-23-1261-000A-0490,198 CABANA WAY,1/5/2022,100,Unqualified,3599,2065,0,3,2005,1244,18-3N-23,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,24-1S-22-223A-000D-026A,1514 PINE ST,1/6/2022,185000,Qualified,3599,2983,0,14,,,24-1S-22,Land Only
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,05-2S-23-2080-0003-0230,8 3RD ST,1/31/2022,525000,Unqualified,3602,3741,0,12,1956,1352,5-2S-23,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,07-1S-22-1130-0001-0040,711 HELMS ST,1/31/2022,100,Unqualified,3611,2001,0,6,1955,1056,7-1S-22,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,16-2S-25-0445-000E-0130,401 CELESTE CT,1/31/2022,316000,Qualified,3602,65,0,21,1983,1294,16-2S-25,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,17-1S-22-1122-0000-0040,606 TULIP TREE WAY,1/31/2022,100,Unqualified,3603,439,0,6,2017,2375,17-1S-22,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,23-2S-24-2200-0000-0906,124 MIRACLE STRIP PKWY 906,1/31/2022,100,Unqualified,3601,3474,0,4,,,23-2S-24,Land With Building
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,26-4N-23-1030-000A-0380,3270 CHAPPELWOOD DR,1/31/2022,320900,Qualified,3602,912,0,1,2022,2365,26-4N-23,Land Only
OkaloosaCountyFL-20220522-1fa5d603772e4e17acd2c8978f10beff.csv,27-4N-22-0010-0000-0540,JOHN NIX RD,1/31/2022,17000,Qualified,3603,239,0,1,,,27-4N-22,Land Only
