Reconnaissance,,Resource Development,,Initial Access,,Execution,,Persistence,,Privilege Escalation,,Defense Evasion,,Credential Access,,Discovery,,Lateral Movement,,Collection,,Command and Control,,Exfiltration,,Impact,
Active Scanning,Scanning IP Blocks,Acquire Infrastructure,Botnet,Drive-by Compromise,,Command and Scripting Interpreter,AppleScript,Account Manipulation,Additional Cloud Credentials,Abuse Elevation Control Mechanism,Bypass User Account Control,Abuse Elevation Control Mechanism,Bypass User Account Control,Adversary-in-the-Middle,ARP Cache Poisoning,Account Discovery,Cloud Account,Exploitation of Remote Services,,Adversary-in-the-Middle,ARP Cache Poisoning,Application Layer Protocol,DNS,Automated Exfiltration,Traffic Duplication,Account Access Removal,
,Vulnerability Scanning,,DNS Server,Exploit Public-Facing Application,,,JavaScript,,Additional Cloud Roles,,Elevated Execution with Prompt,,Elevated Execution with Prompt,,DHCP Spoofing,,Domain Account,Internal Spearphishing,,,DHCP Spoofing,,File Transfer Protocols,Data Transfer Size Limits,,Data Destruction,
,Wordlist Scanning,,Domains,External Remote Services,,,Network Device CLI,,Additional Email Delegate Permissions,,Setuid and Setgid,,Setuid and Setgid,,LLMNR/NBT-NS Poisoning and SMB Relay,,Email Account,Lateral Tool Transfer,,,LLMNR/NBT-NS Poisoning and SMB Relay,,Mail Protocols,Exfiltration Over Alternative Protocol,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,Data Encrypted for Impact,
Gather Victim Host Information,Client Configurations,,Server,Hardware Additions,,,PowerShell,,Device Registration,,Sudo and Sudo Caching,,Sudo and Sudo Caching,Brute Force,Credential Stuffing,,Local Account,Remote Service Session Hijacking,RDP Hijacking,Archive Collected Data,Archive via Custom Method,,Web Protocols,,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,Data Manipulation,Runtime Data Manipulation
,Firmware,,Virtual Private Server,Phishing,Spearphishing Attachment,,Python,,SSH Authorized Keys,Access Token Manipulation,Create Process with Token,Access Token Manipulation,Create Process with Token,,Password Cracking,Application Window Discovery,,,SSH Hijacking,,Archive via Library,Communication Through Removable Media,,,Exfiltration Over Unencrypted Non-C2 Protocol,,Stored Data Manipulation
,Hardware,,Web Services,,Spearphishing Link,,Unix Shell,BITS Jobs,,,Make and Impersonate Token,,Make and Impersonate Token,,Password Guessing,Browser Bookmark Discovery,,Remote Services,Distributed Component Object Model,,Archive via Utility,Data Encoding,Non-Standard Encoding,Exfiltration Over C2 Channel,,,Transmitted Data Manipulation
,Software,Compromise Accounts,Email Accounts,,Spearphishing via Service,,Visual Basic,Boot or Logon Autostart Execution,Active Setup,,Parent PID Spoofing,,Parent PID Spoofing,,Password Spraying,Cloud Infrastructure Discovery,,,Remote Desktop Protocol,Audio Capture,,,Standard Encoding,Exfiltration Over Other Network Medium,Exfiltration Over Bluetooth,Defacement,External Defacement
Gather Victim Identity Information,Credentials,,Social Media Accounts,Replication Through Removable Media,,,Windows Command Shell,,Authentication Package,,SID-History Injection,,SID-History Injection,Credentials from Password Stores,Credentials from Web Browsers,Cloud Service Dashboard,,,SMB/Windows Admin Shares,Automated Collection,,Data Obfuscation,Junk Data,Exfiltration Over Physical Medium,Exfiltration over USB,,Internal Defacement
,Email Addresses,Compromise Infrastructure,Botnet,Supply Chain Compromise,Compromise Hardware Supply Chain,Container Administration Command,,,Kernel Modules and Extensions,,Token Impersonation/Theft,,Token Impersonation/Theft,,Keychain,Cloud Service Discovery,,,SSH,Browser Session Hijacking,,,Protocol Impersonation,Exfiltration Over Web Service,Exfiltration to Cloud Storage,Disk Wipe,Disk Content Wipe
,Employee Names,,DNS Server,,Compromise Software Dependencies and Development Tools,Deploy Container,,,LSASS Driver,Boot or Logon Autostart Execution,Active Setup,BITS Jobs,,,Password Managers,Cloud Storage Object Discovery,,,VNC,Clipboard Data,,,Steganography,,Exfiltration to Code Repository,,Disk Structure Wipe
Gather Victim Network Information,DNS,,Domains,,Compromise Software Supply Chain,Exploitation for Client Execution,,,Login Items,,Authentication Package,Build Image on Host,,,Securityd Memory,Container and Resource Discovery,,,Windows Remote Management,Data Staged,Local Data Staging,Dynamic Resolution,DNS Calculation,Scheduled Transfer,,Endpoint Denial of Service,Application Exhaustion Flood
